2019-06-07 21:31:19,007 - DEBUG - {'total': 64384004096, 'available': 61646356480, 'percent': 4.3, 'used': 2126102528, 'free': 61458726912, 'active': 1946644480, 'inactive': 648630272, 'buffers': 34836480, 'cached': 764338176, 'shared': 6365184, 'slab': 59527168}
2019-06-07 21:31:40,886 - DEBUG - {'total': 64384004096, 'available': 61646045184, 'percent': 4.3, 'used': 2126405632, 'free': 61458227200, 'active': 1946660864, 'inactive': 648802304, 'buffers': 34852864, 'cached': 764518400, 'shared': 6365184, 'slab': 59719680}
2019-06-07 21:32:41,115 - DEBUG - {'total': 64384004096, 'available': 61647646720, 'percent': 4.3, 'used': 2124767232, 'free': 61459517440, 'active': 1946697728, 'inactive': 649056256, 'buffers': 34897920, 'cached': 764821504, 'shared': 6365184, 'slab': 58261504}
2019-06-07 21:33:12,631 - DEBUG - {'total': 64384004096, 'available': 61645873152, 'percent': 4.3, 'used': 2126528512, 'free': 61457518592, 'active': 1946750976, 'inactive': 649252864, 'buffers': 34914304, 'cached': 765042688, 'shared': 6365184, 'slab': 59912192}
2019-06-07 21:34:15,762 - DEBUG - {'total': 64384004096, 'available': 61647327232, 'percent': 4.3, 'used': 2125074432, 'free': 61458714624, 'active': 1946669056, 'inactive': 649461760, 'buffers': 34955264, 'cached': 765259776, 'shared': 6365184, 'slab': 58580992}
2019-06-07 21:34:35,585 - DEBUG - {'total': 64384004096, 'available': 61646540800, 'percent': 4.3, 'used': 2125869056, 'free': 61457735680, 'active': 1946677248, 'inactive': 649641984, 'buffers': 34963456, 'cached': 765435904, 'shared': 6365184, 'slab': 59514880}
2019-06-07 21:34:59,978 - DEBUG - {'total': 64384004096, 'available': 61646798848, 'percent': 4.3, 'used': 2125615104, 'free': 61457682432, 'active': 1946685440, 'inactive': 649928704, 'buffers': 34975744, 'cached': 765730816, 'shared': 6365184, 'slab': 59199488}
2019-06-07 21:35:17,936 - DEBUG - {'total': 64384004096, 'available': 61646708736, 'percent': 4.3, 'used': 2125651968, 'free': 61457408000, 'active': 1946689536, 'inactive': 650100736, 'buffers': 34983936, 'cached': 765960192, 'shared': 6365184, 'slab': 59195392}
2019-06-07 21:35:36,146 - DEBUG - {'total': 64384004096, 'available': 61646929920, 'percent': 4.3, 'used': 2125475840, 'free': 61457362944, 'active': 1946714112, 'inactive': 650342400, 'buffers': 35008512, 'cached': 766156800, 'shared': 6365184, 'slab': 59088896}
2019-06-07 21:35:58,297 - DEBUG - {'total': 64384004096, 'available': 61646508032, 'percent': 4.3, 'used': 2125836288, 'free': 61456760832, 'active': 1946722304, 'inactive': 650514432, 'buffers': 35020800, 'cached': 766386176, 'shared': 6365184, 'slab': 59576320}
2019-06-07 21:36:10,239 - DEBUG - {'total': 64384004096, 'available': 61646618624, 'percent': 4.3, 'used': 2125750272, 'free': 61456695296, 'active': 1946746880, 'inactive': 650665984, 'buffers': 35028992, 'cached': 766529536, 'shared': 6365184, 'slab': 59240448}
2019-06-07 21:36:25,556 - DEBUG - {'total': 64384004096, 'available': 61646753792, 'percent': 4.3, 'used': 2125611008, 'free': 61456605184, 'active': 1946746880, 'inactive': 650866688, 'buffers': 35037184, 'cached': 766750720, 'shared': 6365184, 'slab': 59322368}
2019-06-07 21:37:09,567 - DEBUG - {'total': 64384004096, 'available': 61645266944, 'percent': 4.3, 'used': 2127093760, 'free': 61454848000, 'active': 1946779648, 'inactive': 651112448, 'buffers': 35061760, 'cached': 767000576, 'shared': 6365184, 'slab': 60715008}
2019-06-07 21:37:23,744 - DEBUG - {'total': 64384004096, 'available': 61646462976, 'percent': 4.3, 'used': 2125860864, 'free': 61455929344, 'active': 1946779648, 'inactive': 651227136, 'buffers': 35069952, 'cached': 767143936, 'shared': 6365184, 'slab': 59461632}
2019-06-07 21:37:50,612 - DEBUG - {'total': 64384004096, 'available': 61645578240, 'percent': 4.3, 'used': 2126770176, 'free': 61454766080, 'active': 1946796032, 'inactive': 651489280, 'buffers': 35094528, 'cached': 767373312, 'shared': 6365184, 'slab': 60440576}
2019-06-07 21:38:20,314 - DEBUG - {'total': 64384004096, 'available': 61646336000, 'percent': 4.3, 'used': 2125983744, 'free': 61455265792, 'active': 1946869760, 'inactive': 651677696, 'buffers': 35119104, 'cached': 767635456, 'shared': 6365184, 'slab': 59744256}
2019-06-07 21:38:48,907 - DEBUG - {'total': 64384004096, 'available': 61645340672, 'percent': 4.3, 'used': 2126946304, 'free': 61454073856, 'active': 1946882048, 'inactive': 651862016, 'buffers': 35135488, 'cached': 767848448, 'shared': 6365184, 'slab': 60715008}
2019-06-07 21:39:12,727 - DEBUG - {'total': 64384004096, 'available': 61645475840, 'percent': 4.3, 'used': 2126819328, 'free': 61454000128, 'active': 1946935296, 'inactive': 652050432, 'buffers': 35151872, 'cached': 768032768, 'shared': 6365184, 'slab': 60420096}
2019-06-07 21:39:32,533 - DEBUG - {'total': 64384004096, 'available': 61646630912, 'percent': 4.3, 'used': 2125676544, 'free': 61454934016, 'active': 1946951680, 'inactive': 652251136, 'buffers': 35172352, 'cached': 768221184, 'shared': 6365184, 'slab': 59400192}
2019-06-07 21:40:01,190 - DEBUG - {'total': 64384004096, 'available': 61645791232, 'percent': 4.3, 'used': 2126450688, 'free': 61453828096, 'active': 1946959872, 'inactive': 652480512, 'buffers': 35184640, 'cached': 768540672, 'shared': 6365184, 'slab': 60096512}
2019-06-07 21:40:29,116 - DEBUG - {'total': 64384004096, 'available': 61645737984, 'percent': 4.3, 'used': 2126503936, 'free': 61453529088, 'active': 1946959872, 'inactive': 652726272, 'buffers': 35192832, 'cached': 768778240, 'shared': 6365184, 'slab': 59875328}
2019-06-07 21:40:45,239 - DEBUG - {'total': 64384004096, 'available': 61645930496, 'percent': 4.3, 'used': 2126327808, 'free': 61453492224, 'active': 1946984448, 'inactive': 652931072, 'buffers': 35205120, 'cached': 768978944, 'shared': 6365184, 'slab': 59867136}
2019-06-07 21:41:24,257 - DEBUG - {'total': 64384004096, 'available': 61644414976, 'percent': 4.3, 'used': 2127839232, 'free': 61451718656, 'active': 1947021312, 'inactive': 653168640, 'buffers': 35221504, 'cached': 769224704, 'shared': 6365184, 'slab': 61542400}
2019-06-07 21:42:01,333 - DEBUG - {'total': 64384004096, 'available': 61645246464, 'percent': 4.3, 'used': 2127052800, 'free': 61452156928, 'active': 1947721728, 'inactive': 653541376, 'buffers': 35233792, 'cached': 769560576, 'shared': 6365184, 'slab': 60059648}
2019-06-07 21:42:11,233 - DEBUG - {'total': 64384004096, 'available': 61646348288, 'percent': 4.3, 'used': 2125934592, 'free': 61453058048, 'active': 1947041792, 'inactive': 653713408, 'buffers': 35241984, 'cached': 769769472, 'shared': 6365184, 'slab': 59129856}
2019-06-07 21:43:13,158 - DEBUG - {'total': 64384004096, 'available': 61643595776, 'percent': 4.3, 'used': 2128674816, 'free': 61450072064, 'active': 1947136000, 'inactive': 653860864, 'buffers': 35278848, 'cached': 769978368, 'shared': 6365184, 'slab': 62046208}
2019-06-07 21:43:31,512 - DEBUG - {'total': 64384004096, 'available': 61646172160, 'percent': 4.3, 'used': 2126090240, 'free': 61452464128, 'active': 1947136000, 'inactive': 654045184, 'buffers': 35287040, 'cached': 770162688, 'shared': 6365184, 'slab': 59625472}
2019-06-07 21:44:00,161 - DEBUG - {'total': 64384004096, 'available': 61644926976, 'percent': 4.3, 'used': 2127286272, 'free': 61451026432, 'active': 1947152384, 'inactive': 654213120, 'buffers': 35303424, 'cached': 770387968, 'shared': 6365184, 'slab': 61034496}
2019-06-07 21:45:14,130 - DEBUG - {'total': 64384004096, 'available': 61641691136, 'percent': 4.3, 'used': 2130534400, 'free': 61447491584, 'active': 1947181056, 'inactive': 654462976, 'buffers': 35323904, 'cached': 770654208, 'shared': 6365184, 'slab': 58986496}
